dates,ids,names,monthly_listeners,popularity,followers,genres,first_release,last_release,num_releases,num_tracks,playlists_found,feat_track_ids
2024-04-01,5sD1ZLf2dGQ9gQ3YJl1eAd,blind melon,4535498.0,61,1176749,"alternative metal, alternative rock, grunge, pop rock, rock",1992,2022,12,4,Grunge Forever,6txWz9UapYHVxEd7dDIHXT
2024-04-01,5t5FqBwTcgKTaWmfEbwQY9,enhypen,9808863.0,78,8261674,"anime, k-pop boy group",2021,2024,20,1,K-Pop ON! (온),"4NxbUHGeXsQgxvR8YKbHjC, 3MOa6IKagO2lT9n0sI8fZQ, 2YmfV4lAjrAQvuggKCUX6m, 7mpdNiaQvygj2rHoxkzMfa"
2024-04-01,5xUf6j4upBrXZPg6AI4MRK,soundgarden,7512871.0,68,4295245,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock",1989,2019,18,1,Grunge Forever,"2EoOZnxNgtmZaD8uUmz2nD, 1wlKw9NAWVWpx7OIAyg9EA, 1jMaB19DiVR8OihLSuYFOt, 4VwPsMcRt1HPVKIdcwY9Uj, 6hqIXyo6GxydAnoI8XeIrV"
2024-04-01,61YOovGWdnYImyV9dgnaMA,pedro caceres,252974.0,41,650,sleep,2019,2024,16,1,Meditate to the Sounds of Nature,1mKKxQFRpyyVcimzeoDfOB
2024-04-01,64tNsm6TnZe2zpcMVMOoHL,alice in chains,8379597.0,72,4936756,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock",1990,2018,15,4,Grunge Forever,"5sFDReWLrZHLFZFjHsjUTS, 6gZVQvQZOFpzIy3HblJ20F, 2JuasWPUodaUxf5nwNpciQ, 0wvIGFIgbyz4JNwQhZgTv2, 7FRfYOql61DGDp9VPPe2qA"
2024-04-01,68KmkJeZGfwe1OUaivBa2L,ateez,3593876.0,72,3775578,"k-pop, k-pop boy group",2019,2024,20,3,K-Pop ON! (온),2KoeSRTm9cRulYnkaEyUaP
2024-04-01,6FkhUhUwSPl3mGB6mmE8wn,cravity,741701.0,52,657391,k-pop,2020,2024,16,7,K-Pop ON! (온),4mNYuIZVcHy6TUBoaCnGpF
2024-04-01,6HaGTQPmzraVmaVxvz6EUc,jung kook,28295541.0,86,13666218,k-pop,2022,2023,20,1,K-Pop ON! (온),3ajU531gR5fW71wqsw4tFX
2024-04-01,6RHTUrRF63xao58xh9FXYJ,ive,7852822.0,74,3854163,k-pop girl group,2021,2024,16,2,K-Pop ON! (온),"7uyeEbG6hyApgXuEypGcsZ, 3G7MgLuWLzUJQflWOCDZit"
2024-04-01,6RJUE6sgw2xb5nVYXhKxE9,now & anatma,133153.0,37,191,singing bowl,2022,2024,11,2,Meditate to the Sounds of Nature,0yRHbvtu0x4MbIRKgIlXUl
2024-04-01,6SKusTjOAPsTZ6kareKQdm,taeyong,2440062.0,64,1297210,k-pop,2017,2024,8,2,K-Pop ON! (온),1JxRZB6gjp3nsn2jUIaXMs
2024-04-01,6UbmqUEgjLA6jAcXwbM1Z9,bibi,5546536.0,68,1365402,"k-pop, korean r&b",2021,2024,20,1,K-Pop ON! (온),"5FJqpWkacWPUrXtJ5waI1j, 5juCu4WFTFRZ2XilopAMTy"
2024-04-01,6YVMFz59CuY7ngCxTxjpxE,aespa,8157559.0,74,4963902,k-pop girl group,2022,2024,20,2,K-Pop ON! (온),5XWlyfo0kZ8LF7VSyfS4Ew
2024-04-01,6aVjo0xHSiuW5hkasoYSR3,melvins,507091.0,49,384084,"alternative metal, alternative rock, grunge, punk, sludge metal, stoner metal",2005,2022,20,10,Grunge Forever,09hctAvAEUpm7MKl1RBK2j
2024-04-01,6iQ35vbjuK5T4QkhihmNih,malfunkshun,31220.0,23,31420,"funk metal, grunge",1995,2021,6,1,Grunge Forever,5eXJylmFFCqixTxJGYKny8
2024-04-01,6ltzsmQQbmdoHHbLZ4ZN25,lord huron,26026021.0,76,1519733,"indie folk, stomp and holler",2012,2023,20,1,Sunrise Run,3g0XVm6ZTWHbtTTfKhmMo7
2024-04-01,6olE6TJLqED3rqDCT0FyPh,nirvana,31294285.0,81,18985217,"grunge, permanent wave, rock",1989,2023,20,5,Grunge Forever,"5ghIJDpPoe3CfHMGu71E6T, 11LmqTE2naFULdEP94AUBa, 4P5KoWXOxwuobLmHXLMobV, 2SHTKB8YYlawTGIuJ2b2ok, 1Ic9pKxGSJGM0LKeqf6lGe"
2024-04-01,6qiGjRyN7TJ1GA2nXF68Hi,blind pilot,765163.0,50,251494,"indie folk, portland indie, stomp and holler",2008,2016,4,5,Sunrise Run,6vpATnRbTUGyMqQ9UYVMh7
2024-04-01,6vz9kIJB249V5DbMMH0WZA,solvekin,550529.0,49,1571,"background music, healing hz",2023,2024,20,10,Meditate to the Sounds of Nature,5mGFbVJPUbx8ml6o3gFzcI
2024-04-01,70kkdajctXSbqSMJbQO424,kacey musgraves,27291405.0,80,1371264,"classic texas country, contemporary country, country dawn",2013,2024,20,3,Sunrise Run,43xanDcfSBWuURZCWbItzf
2024-04-01,75dQReiBOHN37fQgWQrIAJ,local natives,1867129.0,56,643091,"chamber pop, indie rock, la indie, modern rock, shimmer pop, stomp and holler",2010,2024,20,1,Sunrise Run,5MUx7O0LlgofSxTp05nshi
2024-04-01,78SHxLdtysAXgywQ4vE0Oa,bush,3266072.0,61,1828689,"alternative metal, alternative rock, grunge, nu metal, pop rock, post-grunge, rock",2001,2023,20,2,Grunge Forever,7wpYSigAhQeZp3cdsMQ3Af
2024-04-01,7E4blUHUdA8BXReNUeeIKl,flyndon,310023.0,45,182, ambient ,2023,2024,20,2,Meditate to the Sounds of Nature,"0MPufbIEaLbtQYtsO2MoF9, 3EvomX9g0fEOKTCRUTcvg1"
2024-04-01,7Lq3yAtwi0Z7zpxEwbQQNZ,viviz,3435882.0,63,541908,"k-pop, k-pop girl group",2022,2023,9,7,K-Pop ON! (온),618OKP1lBkNJL8uZdNSvQE
2024-04-01,7LuYiSXiWs86rwWJjEEgB9,mudhoney,356187.0,43,283344,"alternative rock, grunge, punk",1989,2023,20,12,Grunge Forever,"2x5FYXo5rL4Phmn3UPdkK3, 3Fg4SlOiqKDodVJbAM2Gut"
2024-04-01,7giUHu5pv6YTZgSkxxCcgh,edward sharpe & the magnetic zeros,6116019.0,63,1011879,"la indie, stomp and holler",2006,2016,11,1,Sunrise Run,5uGXVcOINWmyUzpz0lKq7m
2024-04-01,7jIhddww0zd81GTRzMWK0v,escix v,312721.0,44,279, ambient ,2023,2024,16,1,Meditate to the Sounds of Nature,0AdOu6FCkWdtrCxPYP4yS9
2024-04-01,7jy3rLJdDQY21OgRLCZ9sD,foo fighters,21081750.0,77,11543511,"alternative metal, alternative rock, modern rock, permanent wave, post-grunge, rock",1995,2023,20,1,Grunge Forever,"4LGKzrdEeBwR9UHCGlDT0W, 2wO8aOvN1ogLy1N8XT1WJE, 5XUpAb2zC8G404RPkwb09H"
2024-04-01,7n2Ycct7Beij7Dj7meI4X0,twice,12083924.0,81,19836512,"k-pop, k-pop girl group, pop",2017,2024,20,9,K-Pop ON! (온),"7cIn67LEvk16v6komC8znS, 35dhwUoJNlxrPyEIJkfDnx"
2024-04-02,78YqeIji3mgAS2K1Maca6x,dylan scott,7061805.0,70,1616759,"contemporary country, country road, modern country rock",2017,2024,20,1,Breakout Country,"7INk3focyW89pATBgageU7, 1hgINxfKQlJOikzd9skvC2, 61SRKyox0R9jCzci4JXKBS"
2024-04-02,0hEurMDQu99nJRq8pTxO14,john mayer,14713874.0,77,5910163,"neo mellow, singer-songwriter",1999,2021,20,4,Feel Good Acoustic,"2jdAk8ATWIL3dwT47XpRfu, 3MthJpM1IEYp2ulZe00LvP"
2024-04-02,1JjlFdZ1LKxyQ8moqDOmS9,nick ward,53967.0,28,5013,australian alternative pop,2018,2024,12,1,GLOW,2M220rNo8EQw2qp0HWtlPf
2024-04-02,10exVja0key0uqUkk6LJRT,vance joy,24147427.0,75,3024605,"folk-pop, modern rock",2014,2023,20,2,Feel Good Acoustic,"3JvrhDOgAt6p7K8mDyZwRd, 29jtZGdgpE2lWm2mkIt6HS, 6OFKVE2HZdK3n2tbTDMhn3"
2024-04-02,5QySqc6yAFDx9m7fedFZmC,brennan heart,2613048.0,62,302394,"classic hardstyle, euphoric hardstyle, rawstyle",2009,2024,20,1,Hardstyle Bangers,"04ErJiS734u76JgX5JQayC, 7rFFaaqzFqJNaNsILMOY24, 74CkeJ0vYYTdQImnaLy759, 3nDEjp2MvXJuqtUsv8GuyQ, 6FQTEo5HfXoMzXV513unv9, 2Sdpn0xjNKuWdfdccdvFnl, 4j88dqy9AY39QhuRJir7xv, 0cfxGRaCEFKwz66bURIYz5, 76e9eoJxKRoQhutO5CvDqX"
2024-04-02,3uGFTJ7JMllvhgGpumieHF,ailee,1708455.0,58,1126935,k-pop,2015,2024,20,2,노래방 인기가요 (Singing Room K-Pop),2BPXILn0MqOe5WroVXlvN1
2024-04-02,196lKsA13K3keVXMDFK66q,the avett brothers,2328584.0,60,974863,"indie folk, new americana, north carolina indie, north carolina roots, progressive bluegrass, stomp and holler",2002,2024,20,2,Sunrise Run,0KKist1jJYO17nOqtO1sb2
2024-04-02,4TEK9tIkcoxib4GxT3O4ky,kiss of life,2936029.0,65,597022,k-pop girl group,2023,2023,2,6,K-Pop ON! (온),"0NoeYUnwpb9R26mpylHcR9, 70efTlnBNM8BvfhfPiqOBN"
2024-04-02,4VMYDCV2IEDYJArk749S6m,daddy yankee,50757729.0,86,33354428,"latin hip hop, reggaeton, trap latino, urbano latino",2002,2024,20,1,Ultimate Party Classics,"228BxWXUYQPJrJYHDLOHkj, 228BxWXUYQPJrJYHDLOHkj"
