ids,names,popularity,markets,artists,release_date,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,dates,playlists_found
3z5ggGtcs4t8pizW521gW9,Pretend We're Dead,58.0,184.0,2zMQOJ4Cyl4BYbw6WqaO3h,1992,235093.0,5.62e-06,0.569,0.789,0.642,0.0811,-8.559,0.0309,115.152,0.911,4.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
2JuasWPUodaUxf5nwNpciQ,Nutshell,73.0,185.0,64tNsm6TnZe2zpcMVMOoHL,1994,259200.0,0.373,0.384,0.561,0.253,0.0775,-10.059,0.0296,136.136,0.159,3.0,0.0,3.0,1.0,2024-04-01,Grunge Forever
62nQ8UZVqR2RMvkJHkcO2o,Jeremy,71.0,185.0,1w5Kfo2jwwIPruYS2UWh56,1991-08-27,318226.0,0.0404,0.285,0.846,0.0,0.182,-6.472,0.0438,108.808,0.287,2.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3Fg4SlOiqKDodVJbAM2Gut,Suck You Dry - 2008 Remaster,43.0,184.0,7LuYiSXiWs86rwWJjEEgB9,1992,154346.0,3.19e-06,0.248,0.98,0.795,0.0688,-7.1,0.0878,152.956,0.513,6.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
3UhOnJHr4XYGgFLoQE9JFt,Crown Of Thorns,44.0,152.0,3XR64HmFo4OvexUUNW7TP0,1990-01-01,382533.0,0.146,0.364,0.414,1.15e-06,0.0975,-14.011,0.0298,139.116,0.458,4.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
1wlKw9NAWVWpx7OIAyg9EA,Fell On Black Days,68.0,184.0,5xUf6j4upBrXZPg6AI4MRK,1994-03-09,283026.0,0.00152,0.574,0.739,0.000328,0.141,-5.745,0.0271,101.069,0.514,4.0,0.0,3.0,1.0,2024-04-01,Grunge Forever
5DRUgJmwLvCHQjiFzb4LSQ,I Don't Know Anything,51.0,185.0,0T7JQxpy1Li93vLNirbv0Z,1995,300240.0,0.000577,0.341,0.912,0.0,0.428,-4.03,0.0393,177.051,0.416,6.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
6AZFTXEbrftYn5Ca0PaKru,Six Foot Under,37.0,185.0,3RJbkbBAHUe5EEw7dpDVUV,2020-01-04,232333.0,0.00784,0.473,0.918,0.00011,0.128,-5.009,0.0441,104.558,0.481,2.0,1.0,4.0,1.0,2024-04-01,Grunge Forever
6dmueYtoihUhlQZlImBCmm,Creep - 2017 Remaster,65.0,184.0,2UazAtjfzqBF0Nho2awK4z,1992-09-29,334386.0,0.00483,0.661,0.485,0.000311,0.086,-9.161,0.0304,107.761,0.171,4.0,0.0,4.0,1.0,2024-04-01,Grunge Forever
1z4mivQugjaobIZAqR4N4U,Monologue,39.0,185.0,0pnTDtr7r9ThLMVrEZ6byK,2022-09-18,261893.0,0.178,0.481,0.745,0.0,0.321,-3.355,0.0449,78.967,0.375,1.0,0.0,4.0,1.0,2024-04-02,노래방 인기가요 (Singing Room K-Pop)
1KhrAWvLIjRlQIJtSTgvsi,Would You Go With Me,71.0,184.0,7vCtweS8UVAXTyau2j0rDT,2006,228186.0,0.13,0.605,0.864,0.000803,0.113,-5.365,0.0292,122.919,0.736,6.0,1.0,4.0,1.0,2024-04-02,Country Gold
38YgZVHPWOWsKrsCXz6JyP,Come On Get Higher,65.0,184.0,4NGiEU3Pkd8ASRyQR30jcA,2007-01-01,215173.0,0.241,0.672,0.623,0.0,0.0848,-5.699,0.0297,92.018,0.617,9.0,1.0,4.0,1.0,2024-04-02,Feel Good Acoustic
5NfJGBAL9mgFPRQxKJmiX2,Miss Me More,62.0,160.0,3RqBeV12Tt7A8xH3zBDDUF,2018-10-26,192840.0,0.014,0.643,0.72,0.0,0.0834,-7.146,0.0527,96.028,0.491,2.0,1.0,4.0,1.0,2024-04-02,Country Gold
1Juo1H8h7Gbg4m0d9qOdxq,Free (feat. Starsplash),60.0,185.0,"0aKXalHKVzkLJ6aeUY3HMf, 29NIIAIq5CRkVuzkggpS0W, 36QdWK7j3cN0UIPyrB6TIz",2024-02-29,150000.0,0.00586,0.554,0.969,0.0,0.335,-2.788,0.0722,160.121,0.234,2.0,0.0,4.0,1.0,2024-04-02,Hardstyle Bangers
1OozJMmjaGAgX8WPTTMpcG,Ain't Nobody (Loves Me Better) - Acoustic,57.0,181.0,2TL8gYTNgD6nXkyuUdDrMg,2015-09-25,178355.0,0.851,0.512,0.245,0.0,0.131,-8.828,0.0338,93.971,0.266,2.0,0.0,4.0,1.0,2024-04-02,Feel Good Acoustic
7Bvb0ZuJCoIHq6mBEAna2U,Horangsuwolga,39.0,185.0,4g7R2X5sUsylJwYxnfwCJR,2022-01-15,281360.0,0.819,0.647,0.347,0.0,0.148,-7.22,0.0273,104.849,0.473,7.0,0.0,4.0,1.0,2024-04-02,노래방 인기가요 (Singing Room K-Pop)
3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,72.0,185.0,2M4Yt7oKGoYd0wqU44k4i2,2000-10-01,241533.0,0.246,0.595,0.653,0.0,0.264,-4.935,0.0265,128.93,0.542,7.0,1.0,4.0,1.0,2024-04-02,Country Gold
3kXoKlD84c6OmIcOLfrfEs,September,84.0,185.0,4QQgXkCYTt3BlENzhyNETg,1978-11-18,216022.0,0.146,0.674,0.832,5.06e-06,0.138,-7.892,0.0308,125.996,0.981,9.0,1.0,4.0,1.0,2024-04-02,Ultimate Party Classics
3jk4SgyAUOcXbA78btwgZA,Rather Be,57.0,185.0,2TL8gYTNgD6nXkyuUdDrMg,2014-04-20,247816.0,0.837,0.563,0.332,0.0,0.0997,-7.44,0.0335,110.555,0.517,11.0,1.0,4.0,1.0,2024-04-02,Feel Good Acoustic
3kXH9BQq0TyNliiP1MIE6N,Wild as Her,72.0,185.0,3sUpZrkehiGBaMzs2h9Mmc,2023-06-02,201066.0,0.00291,0.5,0.748,0.0,0.112,-5.927,0.0364,148.009,0.448,0.0,1.0,4.0,1.0,2024-04-02,Country Drive
7CNd7rjfVt74TFlcOcnZgN,In Color,69.0,184.0,5yhxqYI0JBwUKfXpSEjiM8,2008-01-01,290680.0,0.391,0.544,0.404,3.98e-06,0.157,-8.751,0.0354,129.518,0.251,3.0,1.0,4.0,1.0,2024-04-02,Country Gold
60nZcImufyMA1MKQY3dcCH,"Happy - From ""Despicable Me 2""",81.0,185.0,2RdwBSPQiwcmiDo9kixcl8,2014-03-03,232720.0,0.219,0.647,0.822,0.0,0.0908,-4.662,0.183,160.019,0.962,5.0,0.0,4.0,1.0,2024-04-02,Ultimate Party Classics
57I7CUbXo4XlWuTVB8pXW6,I Go Back,63.0,185.0,3grHWM9bx2E9vwJCdlRv9O,2004-01-22,243666.0,0.0409,0.532,0.842,0.0,0.217,-5.754,0.0503,90.187,0.67,5.0,1.0,4.0,1.0,2024-04-02,Country Gold
1vkUmedJVhScV9MmRsLGSY,Just You and I - Acoustic,58.0,185.0,7z2avKuuiMAT4XZJFv8Rvh,2019-03-01,198101.0,0.679,0.477,0.52,4.34e-06,0.0978,-7.582,0.395,171.895,0.383,9.0,1.0,4.0,1.0,2024-04-02,Feel Good Acoustic
1Kriq5ncfgGwoZ4evrIPC5,Only Sorry,29.0,185.0,7wzaSKTsjE9HnuDuZTX452,2024-02-23,190354.0,0.0397,0.595,0.86,0.0,0.135,-5.138,0.116,90.987,0.31,1.0,1.0,4.0,1.0,2024-04-02,GLOW
6uyiyatWPCqC59Mm4rO8xL,One Of Them Girls,73.0,185.0,5Zq7R5qmi58ByYyBQTlNuk,2020-11-20,188893.0,0.29,0.643,0.79,0.0,0.107,-6.079,0.0461,95.981,0.808,4.0,1.0,4.0,1.0,2024-04-02,Country Gold
3BlFzuu8yqE4bMrHKTViee,Let's Stay Well (My love X Roy Kim),48.0,185.0,3ErHVJMsxTq2lLSmnONBm9,2023-07-06,258146.0,0.665,0.362,0.364,0.0,0.118,-7.521,0.0368,75.663,0.296,11.0,1.0,4.0,1.0,2024-04-02,노래방 인기가요 (Singing Room K-Pop)
3mRM4NM8iO7UBqrSigCQFH,Stayin' Alive,77.0,183.0,1LZEQNv7sE11VDY3SdxQeN,1979-01-01,285373.0,0.032,0.703,0.827,0.00636,0.179,-7.179,0.0343,103.564,0.944,10.0,0.0,4.0,1.0,2024-04-02,Ultimate Party Classics
3nDEjp2MvXJuqtUsv8GuyQ,Because The Night,56.0,184.0,"73jBynjsVtofjRpdpRAJGk, 5QySqc6yAFDx9m7fedFZmC, 2HkAI0YrEcgoR8QdaURqhO",2022-05-27,201330.0,0.0463,0.387,0.906,5.07e-05,0.398,-5.353,0.0781,143.039,0.334,11.0,0.0,4.0,1.0,2024-04-02,Hardstyle Bangers
1MBCOLWlw0wXeSlCgLQCK9,Epic Sax Song,53.0,185.0,6GebWeCCtey5pbQepRYD6c,2021-09-15,176212.0,0.00592,0.496,0.901,0.308,0.0725,-5.348,0.0709,150.079,0.289,5.0,0.0,4.0,1.0,2024-04-02,Hardstyle Bangers
570np7INhblFuffFDsgPzi,Keep on Moving,62.0,185.0,5xUW4ugFxRJtCe7RLIdKvV,2021-06-25,180820.0,0.0699,0.497,0.95,0.000129,0.22,-2.087,0.0336,150.024,0.557,10.0,1.0,4.0,1.0,2024-04-02,Hardstyle Bangers
6JSH36hKFusIabTu1egYO5,Just Drive,54.0,185.0,5TtSGhhCPt56x4ZPfg7DFq,2021-08-06,147693.0,0.0957,0.714,0.766,0.00183,0.0595,-4.42,0.0365,114.964,0.665,6.0,1.0,4.0,1.0,2024-04-02,Breakout Country
6LCY0s8iDoooe8eMkdEQMu,I Know A Guy,47.0,185.0,0uQBEPm8cAptCNmTWhio8o,2023-09-15,161103.0,0.169,0.606,0.736,0.0,0.108,-5.512,0.0276,93.981,0.717,6.0,1.0,4.0,1.0,2024-04-02,Country Drive
382vwoXF6ksNuaPbMYiQy6,"LOVE DAY (2021) (Romance 101 X Yang Yoseop, Jeong Eun Ji)",41.0,185.0,"1fwMtpwCEJovQuyxSuHcAd, 7cgAZ03K2mMaWB70gwZs92",2021-03-05,257519.0,0.313,0.757,0.707,0.0,0.122,-3.186,0.0316,113.992,0.62,0.0,1.0,4.0,1.0,2024-04-02,노래방 인기가요 (Singing Room K-Pop)
32R0JVo7IU4UlhkU3yNvEc,First Defeat,46.0,185.0,34482S5nfxR441wcnVfrHi,2014-02-10,243773.0,0.857,0.519,0.214,0.00214,0.118,-11.243,0.0298,144.432,0.229,5.0,1.0,4.0,1.0,2024-04-02,Feel Good Acoustic
5Tybis9p4M4TX2gJM8iqgh,Wherever You Will Go - Acoustic,50.0,183.0,5aMmmNxw4vgpc5XC6hK0zp,2011-02-04,200840.0,0.359,0.582,0.592,0.0,0.0821,-6.424,0.0257,112.414,0.353,1.0,1.0,4.0,1.0,2024-04-02,Feel Good Acoustic
3wXHHCV4A7KsoTlHZWVZPd,Ol' Sweet Day,49.0,185.0,08Uextujt6ZT2iQmSYAJfH,2017-01-20,178053.0,0.603,0.393,0.558,4.85e-05,0.108,-9.429,0.0475,112.64,0.336,3.0,1.0,4.0,1.0,2024-04-02,Feel Good Acoustic
4vWJK2WkbYLu2abTJzF9lx,Sad Drinking,34.0,185.0,56U7IcfF1h54ZxOPqjEnjq,2019-11-01,205373.0,0.653,0.484,0.524,0.0,0.185,-4.514,0.0321,133.903,0.232,2.0,1.0,4.0,1.0,2024-04-02,노래방 인기가요 (Singing Room K-Pop)
5UDqWOgDdixYMAgAyNbpgh,Merry Go 'Round,62.0,184.0,70kkdajctXSbqSMJbQO424,2013-01-01,206893.0,0.541,0.651,0.466,0.0027,0.116,-9.403,0.0305,86.953,0.326,6.0,1.0,4.0,1.0,2024-04-02,Breakout Country
5v5rbWpEf9toQLUmMo1JdW,Numb,55.0,185.0,"5JcSyYpBdqCmjJyVlKh7Yg, 2CREMC4YATn7Bx9ZQku6IH",2023-04-25,221578.0,0.117,0.258,0.921,1.24e-05,0.128,-3.912,0.146,157.797,0.193,6.0,0.0,3.0,1.0,2024-04-02,Hardstyle Bangers
58vvcs6zKY0a5YLOI2ARrE,Hiding,54.0,185.0,05bETZtzSdUI5fconFIKRX,2023-05-31,217503.0,0.00934,0.48,0.981,1.5e-05,0.425,-1.571,0.0796,159.951,0.471,5.0,0.0,4.0,1.0,2024-04-02,Hardstyle Bangers
3wgo9ePs5s7OMO6yHQJB1T,"Back Then, Right Now",51.0,185.0,0gSAxSvAApQc71cTpoXDFu,2021-10-22,182666.0,0.0108,0.585,0.719,0.0,0.0494,-3.231,0.0307,76.989,0.479,5.0,1.0,4.0,1.0,2024-04-02,Country Gold
1Ch2BB5K5LpNglFxPnCLQe,Would it be enough?,27.0,185.0,56U7IcfF1h54ZxOPqjEnjq,2020-12-15,198373.0,0.622,0.352,0.505,0.0,0.384,-5.65,0.0436,133.26,0.275,1.0,1.0,4.0,1.0,2024-04-02,노래방 인기가요 (Singing Room K-Pop)
7G6l2FtQyRhQgYgut2I6i8,As Good As I Once Was,73.0,184.0,2bA6fzP0lMAQ4kz6CF61w8,2005-01-01,227840.0,0.266,0.68,0.87,0.0,0.109,-4.461,0.0393,119.078,0.645,5.0,1.0,4.0,1.0,2024-04-02,Country Gold
3wm8Rei9gYJRGKfWVCAB2x,DAS IST KEIN TECHNO,56.0,185.0,5JcSyYpBdqCmjJyVlKh7Yg,2023-10-26,165003.0,0.000367,0.5,0.82,0.581,0.289,-6.271,0.0899,160.009,0.145,1.0,1.0,3.0,1.0,2024-04-02,Hardstyle Bangers
3xeaR6dAHQHU6rtUPRK9tX,Rave Culture 2022,53.0,185.0,4f0OXMMSxr0r8Ztx6CdpAl,2021-12-10,184000.0,0.00171,0.292,0.947,0.593,0.191,-4.449,0.0906,150.101,0.0859,1.0,1.0,4.0,1.0,2024-04-02,Hardstyle Bangers
3xpuHGQZMXiR8j9aCIOO8C,20 something,56.0,184.0,0VMFTqmv0hYlWruyBERT95,2024-03-29,160782.0,0.185,0.582,0.658,0.0,0.069,-3.547,0.298,179.955,0.578,10.0,1.0,4.0,1.0,2024-04-02,Singled Out
5ugkK2FaDZNOT2qT6G1wyW,Morrita Azul,30.0,185.0,0IdsdNuZXciBVnTTNjJS3A,2024-02-23,237076.0,0.413,0.533,0.622,0.00251,0.428,-6.902,0.0344,136.678,0.304,2.0,1.0,4.0,1.0,2024-04-02,GLOW
5uTQC24DoCTc287oH8Xpp4,I’m In Love,53.0,185.0,4e9TBaTlI3LVQz3tkTYC0I,2023-07-28,146866.0,0.218,0.658,0.865,0.0,0.264,-4.282,0.0354,152.029,0.826,11.0,1.0,4.0,1.0,2024-04-02,Breakout Country
1AaBgDyjuG6ckj8PuRoG9m,Alinhamento Milenar,61.0,183.0,59FrDXDVJz0EKqYg39dnT2,2023-08-15,201612.0,0.0361,0.646,0.683,0.000212,0.105,-7.242,0.0275,134.984,0.711,0.0,1.0,4.0,1.0,2024-04-02,GLOW
26OVhEqFDQH0Ij77QtmGP9,YES or YES,68.0,183.0,7n2Ycct7Beij7Dj7meI4X0,2018-11-05,237680.0,0.0514,0.702,0.913,3.72e-06,0.166,-2.977,0.0374,137.981,0.735,11.0,1.0,4.0,1.0,2024-04-02,EQUAL K-Pop
